"lake"	"date"	"year"	"doy"	"wtr_0"	"wtr_0.5"	"wtr_1"	"wtr_1.5"	"wtr_2"	"wtr_2.5"	"wtr_3"	"wtr_3.5"	"wtr_4"	"wtr_4.5"	"wtr_5"	"wtr_5.5"	"wtr_6"	"wtr_6.5"	"wtr_7"	"wtr_8"	"wtr_9"	"wtr_10"	"wtr_11"	"wtr_12"	"wtr_7.5"	"wtr_8.5"
"R"	2018-05-28	2018	148	23.7	23.4	23.1	19.8	15.7	11.9	9.1	7.2	6.1	5.4	4.6	4.6	4.6	4.6	4.6	4.5	4.4	4.4	4.4	4.5	NA	NA
"L"	2018-05-29	2018	149	24	23.9	23.5	20.8	17.2	13.9	11.1	9.3	7.8	6.7	6	5.5	5.2	5	4.9	4.8	4.8	NA	NA	NA	NA	NA
"R"	2018-06-04	2018	155	18.5	18.5	18.4	18.3	18.2	13.7	10.8	8.3	6.6	5.5	4.9	4.7	4.7	4.7	4.7	4.6	4.4	4.4	4.4	4.5	NA	NA
"L"	2018-06-05	2018	156	18.5	18.4	18.2	18.2	18.1	16.2	12.9	10.6	8.6	7.6	6.6	6.1	5.5	5.2	5.1	4.9	4.8	NA	NA	NA	NA	NA
"R"	2018-06-11	2018	162	20.3	20.3	20.2	20	19.1	16.3	12.2	9.4	7.4	6	5	4.9	4.9	4.8	4.8	4.7	4.5	4.4	4.5	4.5	NA	NA
"L"	2018-06-12	2018	163	21.2	21.2	21	20.8	20	18.2	15.1	11.5	9.8	8.3	7	6.6	5.9	5.6	5.2	4.9	4.9	NA	NA	NA	NA	NA
"R"	2018-06-18	2018	169	22.2	22.3	21.8	21.2	20.6	18.6	14.7	11.1	8.8	6.9	5.6	5	5	5	5	4.9	4.6	4.5	4.5	4.5	NA	NA
"L"	2018-06-19	2018	170	22.8	22.6	22.4	22.1	21.2	19.1	16.3	13.3	10.7	9	7.9	6.8	6.3	5.8	5.5	5.1	5	NA	NA	NA	NA	NA
"R"	2018-06-25	2018	176	23.3	23.2	23	22.9	22.8	19.6	15.5	11.8	9.3	7.2	5.7	5.2	5.2	5.2	5.2	4.9	4.7	4.5	4.5	4.5	NA	NA
"L"	2018-06-26	2018	177	23.2	23.1	23.1	23	22.8	21.6	17.6	14.8	11.9	9.7	8.4	7.4	6.7	6.1	5.8	5.2	5	NA	NA	NA	NA	NA
"R"	2018-07-02	2018	183	24.5	24.5	24.4	24.2	24.1	20.6	16.7	13	9.9	7.8	6.3	5.4	5.4	5.3	5.3	5	4.7	4.7	4.6	4.6	NA	NA
"L"	2018-07-03	2018	184	25.7	25.5	25.3	25	24.4	22.7	19	16.2	12.9	10.7	8.9	7.7	6.8	6.4	5.9	5.3	5.1	NA	NA	NA	NA	NA
"R"	2018-07-09	2018	190	26.1	25.8	25.6	25.4	24.8	22.1	17.4	13.8	10.4	8.2	6.5	5.6	5.6	5.5	5.3	5	4.7	4.6	4.6	4.6	NA	NA
"L"	2018-07-10	2018	191	25.7	25.6	25.5	25.4	25.1	24.1	20.8	16.7	13.8	11.5	9.4	8	7.1	6.5	6.1	5.8	5.2	NA	NA	NA	NA	NA
"R"	2018-07-16	2018	197	26	26	25.9	25.7	24.9	23.4	18.7	14.5	11.4	8.7	6.9	5.8	5.8	5.7	5.5	5	4.8	4.7	4.6	4.6	NA	NA
"L"	2018-07-17	2018	198	24.8	24.8	24.8	24.7	24.6	24.3	21.1	17.4	14.6	11.9	10	8.6	7.5	6.7	6.1	5.5	5.2	NA	NA	NA	NA	NA
"R"	2018-07-23	2018	204	22.9	22.6	22.5	22.4	22.3	22.2	19.6	15.4	12	9.5	7.6	6.2	6	5.7	5.4	5	4.7	4.7	4.5	4.6	NA	NA
"L"	2018-07-24	2018	205	23.7	23.3	23.2	23	22.7	22.4	21.7	19.1	15.1	12.4	10.4	8.8	7.7	6.9	6.3	5.6	5.2	NA	NA	NA	NA	NA
"R"	2018-07-30	2018	211	22.8	22.4	22.2	22.1	22.1	22	20	16.4	12.5	9.9	7.7	6.5	6.1	5.8	5.5	5.1	4.8	4.7	4.7	4.6	NA	NA
"L"	2018-07-31	2018	212	23.6	23.2	22.9	22.8	22.4	22.2	21.6	19.5	16.1	13.2	11	9.3	8	7.2	6.5	5.6	5.3	NA	NA	NA	NA	NA
"R"	2018-08-06	2018	218	22.8	22.8	22.6	21.9	21.8	21.5	20.1	16.5	13.1	10.2	8.3	6.8	6.4	6	5.6	5	4.8	4.7	4.7	4.7	NA	NA
"L"	2018-08-07	2018	219	22.4	22.3	22.2	22.1	21.9	21.7	21.2	19.2	17	13.5	11.7	9.7	8.5	7.5	6.7	5.7	5.4	NA	NA	NA	NA	NA
"R"	2018-08-13	2018	225	25.4	25.2	25	24.9	24.6	22.8	21	17.8	14.2	11.2	8.8	7.4	6.6	6	5.6	5.2	4.9	4.8	4.7	4.6	NA	NA
"L"	2018-08-14	2018	226	25.6	25.5	25.4	25.3	24.7	23.7	22.2	20.2	17.2	14.5	11.9	10.2	8.7	7.7	6.9	5.9	5.5	NA	NA	NA	6.2	5.6
"R"	2018-08-20	2018	232	24.4	24.4	24	23.9	23.9	23.8	21.5	18.5	14.8	11.7	9.1	7.7	6.9	6.2	5.7	5.2	4.9	4.8	4.7	4.7	NA	NA
"L"	2018-08-21	2018	233	23	23	23	23	23	22.9	22.7	20.4	17.5	14.8	12.3	10.4	9.1	7.9	7.2	5.9	5.5	NA	NA	NA	NA	NA
"R"	2019-05-14	2019	134	13.2	13.1	12.6	10.8	9.5	8.2	6.7	5.5	5.4	4.6	4.5	4.5	4.5	4.5	4.4	4.3	4.4	4.4	4.4	4.5	NA	NA
"L"	2019-05-15	2019	135	14.8	14.2	12.5	11.3	10.1	9.1	8	7	6.4	5.9	5.4	5.1	4.9	4.9	4.8	4.8	4.8	NA	NA	NA	NA	NA
"R"	2019-05-20	2019	140	11.2	11.1	10.8	10.4	10.3	10	7.9	6.4	5.4	4.8	4.7	4.7	4.7	4.7	4.5	4.4	4.4	4.4	4.5	4.5	NA	NA
"L"	2019-05-21	2019	141	12.3	12.2	11.4	11.3	10.8	10.5	10.1	8.2	7.2	6.5	6	5.6	5.3	5.1	5	4.9	4.8	NA	NA	NA	NA	NA
"R"	2019-05-27	2019	147	15.6	15.8	15.6	13.7	12.7	10.8	8.7	7.1	5.8	5.3	4.9	4.9	4.7	4.7	4.7	4.5	4.4	4.4	4.5	4.5	NA	NA
"L"	2019-05-28	2019	148	14	14	14	13.9	13.7	11.8	10.6	9.2	7.8	7	6.3	5.8	5.4	5.2	5.1	4.9	4.9	NA	NA	NA	NA	NA
"R"	2019-06-03	2019	154	17.2	17.2	17.1	16.9	14.5	11.9	9.8	7.6	6.6	5.6	5	5	5	4.9	4.7	4.5	4.5	4.5	4.5	4.5	NA	NA
"L"	2019-06-04	2019	155	17	16.9	16.8	16.6	16.2	13.8	11.9	10.3	9.1	8	6.9	6.2	5.8	5.5	5.4	5	5	NA	NA	NA	NA	NA
"R"	2019-06-10	2019	161	20.7	20.7	20.7	19.9	17	13.3	10.7	8.4	6.7	5.8	5.1	5.1	5.1	5.1	4.8	4.6	4.5	4.5	4.5	4.4	NA	NA
"L"	2019-06-11	2019	162	20.5	20.4	20.2	20	19.4	16.1	13.9	11.6	10.1	8.9	7.5	7	6.1	5.8	5.6	5.1	5	NA	NA	NA	NA	NA
"R"	2019-06-17	2019	168	19.6	19.5	19.3	19.2	18.3	14.7	11.8	9.8	7.6	6	5.3	5.3	5.2	5.2	5	4.8	4.6	4.5	4.5	4.5	NA	NA
"L"	2019-06-18	2019	169	20.6	20.4	20.2	20	19.5	18.1	15.1	13	10.9	9.2	8.3	7.4	6.7	6.1	5.7	5.2	5.1	NA	NA	NA	NA	NA
"R"	2019-06-24	2019	175	20.7	20.7	20.7	20.6	19.8	16.5	12.9	10.2	8.1	6.4	5.5	5.5	5.4	5.4	5.2	4.7	4.6	4.5	4.5	4.6	NA	NA
"L"	2019-06-25	2019	176	20.6	20.5	20.4	20.3	20.2	19.5	16.8	13.5	11.5	10	8.5	7.7	7	6.4	6	5.4	5.1	NA	NA	NA	NA	NA
"R"	2019-07-01	2019	182	23.3	23.3	23.4	23	20.7	17	13.4	10.4	8.5	6.7	5.8	5.6	5.6	5.4	5.2	4.8	4.6	4.6	4.6	4.6	NA	NA
"L"	2019-07-02	2019	183	23	23	23	22.9	22.6	20.5	17.7	14.8	12.3	10.6	9.1	8	7.1	6.6	6.1	5.5	5.3	NA	NA	NA	NA	NA
"R"	2019-07-08	2019	189	24.2	24	23.9	23.9	23.5	18.7	14.8	11.7	9.3	7.5	6.3	5.8	5.6	5.4	5.1	4.9	4.6	4.6	4.6	4.6	NA	NA
"L"	2019-07-09	2019	190	24.9	24.9	24.7	24.6	24.3	22.1	19.5	15.5	13.5	11.3	9.8	8.4	7.4	6.8	6.2	5.6	5.3	NA	NA	NA	NA	NA
"R"	2019-07-15	2019	196	25.6	25.5	25.4	25.2	24.2	21.2	16.1	12.7	9.7	7.8	6.5	6	5.8	5.5	5.4	4.9	4.7	4.6	4.6	4.6	NA	NA
"L"	2019-07-16	2019	197	25.9	25.8	25.7	25.6	25.3	23.4	20	16.6	14	11.8	9.9	8.8	7.6	6.8	6.5	5.7	5.5	NA	NA	NA	NA	NA
"R"	2019-07-22	2019	203	24.1	24	24	24	23.9	22.1	17.5	13.8	10.8	8.6	7.2	6.3	5.9	5.5	5.3	4.9	4.7	4.7	4.6	4.6	NA	NA
