"doy","thermocline","depth","lake","year","source"
138,"ZT1a",1.33994413407821,"Paul",2018,"tchain"
138,"ZT1b",2.35766569071067,"Paul",2018,"tchain"
138,"ZT2",1.5,"Paul",2018,"tchain"
139,"ZT1a",1.31231839730846,"Paul",2018,"tchain"
139,"ZT1b",2.4514312529329,"Paul",2018,"tchain"
139,"ZT2",1.5,"Paul",2018,"tchain"
140,"ZT1a",1.58507625272331,"Paul",2018,"tchain"
140,"ZT1b",2.57629475147723,"Paul",2018,"tchain"
140,"ZT2",1.5,"Paul",2018,"tchain"
141,"ZT1a",1.56675170068027,"Paul",2018,"tchain"
141,"ZT1b",2.6497475658132,"Paul",2018,"tchain"
141,"ZT2",1.5,"Paul",2018,"tchain"
142,"ZT1a",1.47289218191109,"Paul",2018,"tchain"
142,"ZT1b",2.69734299516908,"Paul",2018,"tchain"
142,"ZT2",1.5,"Paul",2018,"tchain"
143,"ZT1a",1.35331571359923,"Paul",2018,"tchain"
143,"ZT1b",2.71778998324334,"Paul",2018,"tchain"
143,"ZT2",1.5,"Paul",2018,"tchain"
144,"ZT1a",1.24307201458523,"Paul",2018,"tchain"
144,"ZT1b",2.73240206800557,"Paul",2018,"tchain"
144,"ZT2",1.5,"Paul",2018,"tchain"
145,"ZT1a",1.11957649092481,"Paul",2018,"tchain"
145,"ZT1b",2.85516113399564,"Paul",2018,"tchain"
145,"ZT2",1,"Paul",2018,"tchain"
146,"ZT1a",0.968562195260233,"Paul",2018,"tchain"
146,"ZT1b",2.89565078008121,"Paul",2018,"tchain"
146,"ZT2",1,"Paul",2018,"tchain"
147,"ZT1a",0.78894802755166,"Paul",2018,"tchain"
147,"ZT1b",2.94419237749546,"Paul",2018,"tchain"
147,"ZT2",1,"Paul",2018,"tchain"
148,"ZT1a",0.892405063291139,"Paul",2018,"tchain"
148,"ZT1b",2.98334828436869,"Paul",2018,"tchain"
148,"ZT2",1,"Paul",2018,"tchain"
149,"ZT1a",0.895879370856623,"Paul",2018,"tchain"
149,"ZT1b",3.03566316793893,"Paul",2018,"tchain"
149,"ZT2",1,"Paul",2018,"tchain"
150,"ZT1a",0.969032291558509,"Paul",2018,"tchain"
150,"ZT1b",3.06504775215467,"Paul",2018,"tchain"
150,"ZT2",1,"Paul",2018,"tchain"
151,"ZT1a",1.08561552825003,"Paul",2018,"tchain"
151,"ZT1b",3.08917649284318,"Paul",2018,"tchain"
151,"ZT2",1,"Paul",2018,"tchain"
152,"ZT1a",1.43978574418693,"Paul",2018,"tchain"
152,"ZT1b",3.12902450744834,"Paul",2018,"tchain"
152,"ZT2",1.5,"Paul",2018,"tchain"
153,"ZT1a",1.6235426350682,"Paul",2018,"tchain"
153,"ZT1b",3.16499522445081,"Paul",2018,"tchain"
153,"ZT2",1.5,"Paul",2018,"tchain"
154,"ZT1a",1.68629798835753,"Paul",2018,"tchain"
154,"ZT1b",3.20144578313253,"Paul",2018,"tchain"
154,"ZT2",1.5,"Paul",2018,"tchain"
155,"ZT1a",1.98290490059516,"Paul",2018,"tchain"
155,"ZT1b",3.22391706286318,"Paul",2018,"tchain"
155,"ZT2",2,"Paul",2018,"tchain"
156,"ZT1a",2.05304262383953,"Paul",2018,"tchain"
156,"ZT1b",3.23661398749853,"Paul",2018,"tchain"
156,"ZT2",2,"Paul",2018,"tchain"
157,"ZT1a",2.08827861952862,"Paul",2018,"tchain"
157,"ZT1b",3.30333911535126,"Paul",2018,"tchain"
157,"ZT2",2,"Paul",2018,"tchain"
158,"ZT1a",2.1370099923136,"Paul",2018,"tchain"
158,"ZT1b",3.34084426697091,"Paul",2018,"tchain"
158,"ZT2",2,"Paul",2018,"tchain"
159,"ZT1a",2.12735849056604,"Paul",2018,"tchain"
159,"ZT1b",3.40030336458908,"Paul",2018,"tchain"
159,"ZT2",2,"Paul",2018,"tchain"
160,"ZT1a",2.11106669712197,"Paul",2018,"tchain"
160,"ZT1b",3.43746601413812,"Paul",2018,"tchain"
160,"ZT2",2,"Paul",2018,"tchain"
161,"ZT1a",2.09518019013929,"Paul",2018,"tchain"
161,"ZT1b",3.46430540242558,"Paul",2018,"tchain"
161,"ZT2",2,"Paul",2018,"tchain"
162,"ZT1a",2.05003337412393,"Paul",2018,"tchain"
162,"ZT1b",3.51411794102949,"Paul",2018,"tchain"
162,"ZT2",2,"Paul",2018,"tchain"
163,"ZT1a",1.98617949078633,"Paul",2018,"tchain"
163,"ZT1b",3.54474257695451,"Paul",2018,"tchain"
163,"ZT2",2,"Paul",2018,"tchain"
164,"ZT1a",1.95932371250707,"Paul",2018,"tchain"
164,"ZT1b",3.60078162008527,"Paul",2018,"tchain"
164,"ZT2",2,"Paul",2018,"tchain"
165,"ZT1a",1.95179155065973,"Paul",2018,"tchain"
165,"ZT1b",3.62945568400771,"Paul",2018,"tchain"
165,"ZT2",2,"Paul",2018,"tchain"
166,"ZT1a",2.09508130081301,"Paul",2018,"tchain"
166,"ZT1b",3.6872516943211,"Paul",2018,"tchain"
166,"ZT2",2,"Paul",2018,"tchain"
167,"ZT1a",2.26654358875995,"Paul",2018,"tchain"
167,"ZT1b",3.70342599366008,"Paul",2018,"tchain"
167,"ZT2",2.5,"Paul",2018,"tchain"
168,"ZT1a",2.27724299065421,"Paul",2018,"tchain"
168,"ZT1b",3.74577498792854,"Paul",2018,"tchain"
168,"ZT2",2.5,"Paul",2018,"tchain"
169,"ZT1a",2.27919054441261,"Paul",2018,"tchain"
169,"ZT1b",3.76993817619784,"Paul",2018,"tchain"
169,"ZT2",2.5,"Paul",2018,"tchain"
170,"ZT1a",2.17687666189405,"Paul",2018,"tchain"
170,"ZT1b",3.78168546781685,"Paul",2018,"tchain"
170,"ZT2",2.5,"Paul",2018,"tchain"
171,"ZT1a",2.07913890944979,"Paul",2018,"tchain"
171,"ZT1b",3.81578947368421,"Paul",2018,"tchain"
171,"ZT2",2.5,"Paul",2018,"tchain"
172,"ZT1a",2.03129535558781,"Paul",2018,"tchain"
172,"ZT1b",3.84224385572933,"Paul",2018,"tchain"
172,"ZT2",2.5,"Paul",2018,"tchain"
173,"ZT1a",2.0263619201726,"Paul",2018,"tchain"
173,"ZT1b",3.85180122225796,"Paul",2018,"tchain"
173,"ZT2",2,"Paul",2018,"tchain"
174,"ZT1a",1.99883693188596,"Paul",2018,"tchain"
174,"ZT1b",3.88579622132254,"Paul",2018,"tchain"
174,"ZT2",2,"Paul",2018,"tchain"
175,"ZT1a",2.02236500402973,"Paul",2018,"tchain"
175,"ZT1b",3.92131340275445,"Paul",2018,"tchain"
175,"ZT2",2,"Paul",2018,"tchain"
176,"ZT1a",2.1141072239891,"Paul",2018,"tchain"
176,"ZT1b",3.95347744360902,"Paul",2018,"tchain"
176,"ZT2",2,"Paul",2018,"tchain"
177,"ZT1a",2.11715414660732,"Paul",2018,"tchain"
177,"ZT1b",3.96595670391061,"Paul",2018,"tchain"
177,"ZT2",2,"Paul",2018,"tchain"
178,"ZT1a",2.11793124944341,"Paul",2018,"tchain"
178,"ZT1b",3.98915237134208,"Paul",2018,"tchain"
178,"ZT2",2,"Paul",2018,"tchain"
179,"ZT1a",2.10628291948834,"Paul",2018,"tchain"
179,"ZT1b",4.02202527202527,"Paul",2018,"tchain"
179,"ZT2",2,"Paul",2018,"tchain"
180,"ZT1a",2.0777699695479,"Paul",2018,"tchain"
180,"ZT1b",4.03821900953553,"Paul",2018,"tchain"
180,"ZT2",2,"Paul",2018,"tchain"
181,"ZT1a",2.02151022864019,"Paul",2018,"tchain"
181,"ZT1b",4.06652144772118,"Paul",2018,"tchain"
181,"ZT2",2.5,"Paul",2018,"tchain"
182,"ZT1a",1.98046794475366,"Paul",2018,"tchain"
182,"ZT1b",4.12882352941176,"Paul",2018,"tchain"
182,"ZT2",2.5,"Paul",2018,"tchain"
183,"ZT1a",2.11718355972337,"Paul",2018,"tchain"
183,"ZT1b",4.14725753844106,"Paul",2018,"tchain"
183,"ZT2",2,"Paul",2018,"tchain"
184,"ZT1a",2.06790549662488,"Paul",2018,"tchain"
184,"ZT1b",4.16625115605774,"Paul",2018,"tchain"
184,"ZT2",2,"Paul",2018,"tchain"
185,"ZT1a",2.06735033259424,"Paul",2018,"tchain"
185,"ZT1b",4.21043538355218,"Paul",2018,"tchain"
185,"ZT2",2,"Paul",2018,"tchain"
186,"ZT1a",2.03869538334707,"Paul",2018,"tchain"
186,"ZT1b",4.22482517482517,"Paul",2018,"tchain"
186,"ZT2",2,"Paul",2018,"tchain"
187,"ZT1a",2.13795870564761,"Paul",2018,"tchain"
187,"ZT1b",4.2572531586336,"Paul",2018,"tchain"
187,"ZT2",2,"Paul",2018,"tchain"
188,"ZT1a",2.18582594842179,"Paul",2018,"tchain"
188,"ZT1b",4.2932645034415,"Paul",2018,"tchain"
188,"ZT2",2.5,"Paul",2018,"tchain"
189,"ZT1a",2.30546341774574,"Paul",2018,"tchain"
189,"ZT1b",4.32425522454424,"Paul",2018,"tchain"
189,"ZT2",2.5,"Paul",2018,"tchain"
190,"ZT1a",2.26567793555828,"Paul",2018,"tchain"
190,"ZT1b",4.36764705882353,"Paul",2018,"tchain"
190,"ZT2",2.5,"Paul",2018,"tchain"
191,"ZT1a",0,"Paul",2018,"tchain"
191,"ZT1b",0,"Paul",2018,"tchain"
191,"ZT2",2.5,"Paul",2018,"tchain"
192,"ZT1a",0,"Paul",2018,"tchain"
192,"ZT1b",0,"Paul",2018,"tchain"
192,"ZT2",2.5,"Paul",2018,"tchain"
193,"ZT1a",0,"Paul",2018,"tchain"
193,"ZT1b",0,"Paul",2018,"tchain"
193,"ZT2",2.5,"Paul",2018,"tchain"
194,"ZT1a",0,"Paul",2018,"tchain"
194,"ZT1b",0,"Paul",2018,"tchain"
194,"ZT2",2.5,"Paul",2018,"tchain"
195,"ZT1a",0,"Paul",2018,"tchain"
195,"ZT1b",0,"Paul",2018,"tchain"
195,"ZT2",2.5,"Paul",2018,"tchain"
196,"ZT1a",0,"Paul",2018,"tchain"
196,"ZT1b",0,"Paul",2018,"tchain"
196,"ZT2",2.5,"Paul",2018,"tchain"
197,"ZT1a",0,"Paul",2018,"tchain"
197,"ZT1b",0,"Paul",2018,"tchain"
197,"ZT2",2.5,"Paul",2018,"tchain"
198,"ZT1a",0,"Paul",2018,"tchain"
198,"ZT1b",0,"Paul",2018,"tchain"
198,"ZT2",2.5,"Paul",2018,"tchain"
199,"ZT1a",0,"Paul",2018,"tchain"
199,"ZT1b",0,"Paul",2018,"tchain"
199,"ZT2",2.5,"Paul",2018,"tchain"
200,"ZT1a",0,"Paul",2018,"tchain"
200,"ZT1b",0,"Paul",2018,"tchain"
200,"ZT2",2.5,"Paul",2018,"tchain"
201,"ZT1a",0,"Paul",2018,"tchain"
201,"ZT1b",0,"Paul",2018,"tchain"
201,"ZT2",2.5,"Paul",2018,"tchain"
202,"ZT1a",0,"Paul",2018,"tchain"
202,"ZT1b",0,"Paul",2018,"tchain"
202,"ZT2",2.5,"Paul",2018,"tchain"
203,"ZT1a",0,"Paul",2018,"tchain"
203,"ZT1b",0,"Paul",2018,"tchain"
203,"ZT2",3,"Paul",2018,"tchain"
204,"ZT1a",0,"Paul",2018,"tchain"
204,"ZT1b",0,"Paul",2018,"tchain"
204,"ZT2",3,"Paul",2018,"tchain"
205,"ZT1a",2.82941922505029,"Paul",2018,"tchain"
205,"ZT1b",2.82941922505029,"Paul",2018,"tchain"
205,"ZT2",3,"Paul",2018,"tchain"
206,"ZT1a",2.78646176940214,"Paul",2018,"tchain"
206,"ZT1b",2.78646176940214,"Paul",2018,"tchain"
206,"ZT2",3,"Paul",2018,"tchain"
207,"ZT1a",2.79239243280655,"Paul",2018,"tchain"
207,"ZT1b",2.79239243280655,"Paul",2018,"tchain"
207,"ZT2",2.5,"Paul",2018,"tchain"
208,"ZT1a",2.94161928146808,"Paul",2018,"tchain"
208,"ZT1b",2.94161928146808,"Paul",2018,"tchain"
208,"ZT2",3,"Paul",2018,"tchain"
209,"ZT1a",2.99696842358026,"Paul",2018,"tchain"
209,"ZT1b",2.99696842358026,"Paul",2018,"tchain"
209,"ZT2",3,"Paul",2018,"tchain"
210,"ZT1a",2.99356992269852,"Paul",2018,"tchain"
210,"ZT1b",2.99356992269852,"Paul",2018,"tchain"
210,"ZT2",3,"Paul",2018,"tchain"
211,"ZT1a",2.98027555874697,"Paul",2018,"tchain"
211,"ZT1b",2.98027555874697,"Paul",2018,"tchain"
211,"ZT2",3,"Paul",2018,"tchain"
212,"ZT1a",2.95955207771182,"Paul",2018,"tchain"
212,"ZT1b",2.95955207771182,"Paul",2018,"tchain"
212,"ZT2",3,"Paul",2018,"tchain"
213,"ZT1a",2.95205850487541,"Paul",2018,"tchain"
213,"ZT1b",2.95205850487541,"Paul",2018,"tchain"
213,"ZT2",3,"Paul",2018,"tchain"
214,"ZT1a",3.03091900311526,"Paul",2018,"tchain"
214,"ZT1b",3.03091900311526,"Paul",2018,"tchain"
214,"ZT2",3,"Paul",2018,"tchain"
215,"ZT1a",3.11059986366735,"Paul",2018,"tchain"
215,"ZT1b",3.11059986366735,"Paul",2018,"tchain"
215,"ZT2",3,"Paul",2018,"tchain"
216,"ZT1a",3.14378509565052,"Paul",2018,"tchain"
216,"ZT1b",3.14378509565052,"Paul",2018,"tchain"
216,"ZT2",3,"Paul",2018,"tchain"
217,"ZT1a",3.16108751536828,"Paul",2018,"tchain"
217,"ZT1b",3.16108751536828,"Paul",2018,"tchain"
217,"ZT2",3,"Paul",2018,"tchain"
218,"ZT1a",3.14939476284585,"Paul",2018,"tchain"
218,"ZT1b",3.14939476284585,"Paul",2018,"tchain"
218,"ZT2",3,"Paul",2018,"tchain"
219,"ZT1a",3.13426128890837,"Paul",2018,"tchain"
219,"ZT1b",3.13426128890837,"Paul",2018,"tchain"
219,"ZT2",3,"Paul",2018,"tchain"
220,"ZT1a",3.11783161239079,"Paul",2018,"tchain"
220,"ZT1b",3.11783161239079,"Paul",2018,"tchain"
220,"ZT2",3,"Paul",2018,"tchain"
221,"ZT1a",3.10337078651685,"Paul",2018,"tchain"
221,"ZT1b",3.10337078651685,"Paul",2018,"tchain"
221,"ZT2",2.5,"Paul",2018,"tchain"
222,"ZT1a",3.0757174392936,"Paul",2018,"tchain"
222,"ZT1b",3.0757174392936,"Paul",2018,"tchain"
222,"ZT2",2.5,"Paul",2018,"tchain"
223,"ZT1a",3.02808845958312,"Paul",2018,"tchain"
223,"ZT1b",3.02808845958312,"Paul",2018,"tchain"
223,"ZT2",2.5,"Paul",2018,"tchain"
224,"ZT1a",2.96434924399644,"Paul",2018,"tchain"
224,"ZT1b",2.96434924399644,"Paul",2018,"tchain"
224,"ZT2",2.5,"Paul",2018,"tchain"
225,"ZT1a",2.87439024390244,"Paul",2018,"tchain"
225,"ZT1b",2.87439024390244,"Paul",2018,"tchain"
225,"ZT2",2.5,"Paul",2018,"tchain"
226,"ZT1a",2.79128070881998,"Paul",2018,"tchain"
226,"ZT1b",2.79128070881998,"Paul",2018,"tchain"
226,"ZT2",2.5,"Paul",2018,"tchain"
227,"ZT1a",2.73293384467881,"Paul",2018,"tchain"
227,"ZT1b",2.73293384467881,"Paul",2018,"tchain"
227,"ZT2",2.5,"Paul",2018,"tchain"
228,"ZT1a",2.70090562440419,"Paul",2018,"tchain"
228,"ZT1b",2.70090562440419,"Paul",2018,"tchain"
228,"ZT2",2.5,"Paul",2018,"tchain"
229,"ZT1a",2.67546414270113,"Paul",2018,"tchain"
229,"ZT1b",2.67546414270113,"Paul",2018,"tchain"
229,"ZT2",2.5,"Paul",2018,"tchain"
230,"ZT1a",2.67591031046378,"Paul",2018,"tchain"
230,"ZT1b",2.67591031046378,"Paul",2018,"tchain"
230,"ZT2",2.5,"Paul",2018,"tchain"
231,"ZT1a",2.71632907565566,"Paul",2018,"tchain"
231,"ZT1b",2.71632907565566,"Paul",2018,"tchain"
231,"ZT2",2.5,"Paul",2018,"tchain"
232,"ZT1a",2.74675454764004,"Paul",2018,"tchain"
232,"ZT1b",2.74675454764004,"Paul",2018,"tchain"
232,"ZT2",2.5,"Paul",2018,"tchain"
233,"ZT1a",3.00235047009402,"Paul",2018,"tchain"
233,"ZT1b",3.00235047009402,"Paul",2018,"tchain"
233,"ZT2",3,"Paul",2018,"tchain"
234,"ZT1a",3.12948758500712,"Paul",2018,"tchain"
234,"ZT1b",3.12948758500712,"Paul",2018,"tchain"
234,"ZT2",3,"Paul",2018,"tchain"
138,"ZT1a",1.29426151276545,"Peter",2018,"tchain"
138,"ZT1b",2.49259151656014,"Peter",2018,"tchain"
138,"ZT2",1.5,"Peter",2018,"tchain"
139,"ZT1a",1.17438542581212,"Peter",2018,"tchain"
139,"ZT1b",2.53812525416836,"Peter",2018,"tchain"
139,"ZT2",1,"Peter",2018,"tchain"
140,"ZT1a",1.46632179553956,"Peter",2018,"tchain"
140,"ZT1b",2.59805611698966,"Peter",2018,"tchain"
140,"ZT2",1.5,"Peter",2018,"tchain"
141,"ZT1a",1.43892174704277,"Peter",2018,"tchain"
141,"ZT1b",2.67000901306895,"Peter",2018,"tchain"
141,"ZT2",1.5,"Peter",2018,"tchain"
142,"ZT1a",1.3691470325082,"Peter",2018,"tchain"
142,"ZT1b",2.70137813564571,"Peter",2018,"tchain"
142,"ZT2",1.5,"Peter",2018,"tchain"
143,"ZT1a",1.26873212143582,"Peter",2018,"tchain"
143,"ZT1b",2.74670069079287,"Peter",2018,"tchain"
143,"ZT2",1.5,"Peter",2018,"tchain"
144,"ZT1a",1.12465776865161,"Peter",2018,"tchain"
144,"ZT1b",2.8046614872364,"Peter",2018,"tchain"
