lake,date,year,doy,depth,temp_c,do_mgl
R,5/14/2019,2019,134,0,13.2,11.0
R,5/14/2019,2019,134,0.5,13.1,11.2
R,5/14/2019,2019,134,1,12.6,10.6
R,5/14/2019,2019,134,1.5,10.8,11.8
R,5/14/2019,2019,134,2,9.5,12.3
R,5/14/2019,2019,134,2.5,8.2,13.5
R,5/14/2019,2019,134,3,6.7,14.6
R,5/14/2019,2019,134,3.5,5.5,13.1
R,5/14/2019,2019,134,4,5.4,10.5
R,5/14/2019,2019,134,4.5,4.6,0.7
R,5/14/2019,2019,134,5,4.5,0.5
R,5/14/2019,2019,134,5.5,4.5,0.4
R,5/14/2019,2019,134,6,4.5,0.3
R,5/14/2019,2019,134,6.5,4.5,0.1
R,5/14/2019,2019,134,7,4.4,0.1
R,5/14/2019,2019,134,8,4.3,0.1
R,5/14/2019,2019,134,9,4.4,0.1
R,5/14/2019,2019,134,10,4.4,0.1
R,5/14/2019,2019,134,11,4.4,0.1
R,5/14/2019,2019,134,12,4.5,0.0
L,5/15/2019,2019,135,0,14.8,10.6
L,5/15/2019,2019,135,0.5,14.2,10.3
L,5/15/2019,2019,135,1,12.5,11.0
L,5/15/2019,2019,135,1.5,11.3,11.6
L,5/15/2019,2019,135,2,10.1,12.2
L,5/15/2019,2019,135,2.5,9.1,12.5
L,5/15/2019,2019,135,3,8.0,13.4
L,5/15/2019,2019,135,3.5,7.0,13.4
L,5/15/2019,2019,135,4,6.4,12.1
L,5/15/2019,2019,135,4.5,5.9,9.8
L,5/15/2019,2019,135,5,5.4,5.6
L,5/15/2019,2019,135,5.5,5.1,1.6
L,5/15/2019,2019,135,6,4.9,0.2
L,5/15/2019,2019,135,6.5,4.9,0.1
L,5/15/2019,2019,135,7,4.8,0.1
L,5/15/2019,2019,135,8,4.8,0.1
L,5/15/2019,2019,135,9,4.8,0.1
R,5/20/2019,2019,140,0,11.2,10.1
R,5/20/2019,2019,140,0.5,11.1,9.9
R,5/20/2019,2019,140,1,10.8,10.1
R,5/20/2019,2019,140,1.5,10.4,10.2
R,5/20/2019,2019,140,2,10.3,10.2
R,5/20/2019,2019,140,2.5,10.0,11.0
R,5/20/2019,2019,140,3,7.9,12.7
R,5/20/2019,2019,140,3.5,6.4,12.8
R,5/20/2019,2019,140,4,5.4,11.2
R,5/20/2019,2019,140,4.5,4.8,1.2
R,5/20/2019,2019,140,5,4.7,0.7
R,5/20/2019,2019,140,5.5,4.7,0.7
R,5/20/2019,2019,140,6,4.7,0.7
R,5/20/2019,2019,140,6.5,4.7,0.1
R,5/20/2019,2019,140,7,4.5,0.1
R,5/20/2019,2019,140,8,4.4,0.1
R,5/20/2019,2019,140,9,4.4,0.1
R,5/20/2019,2019,140,10,4.4,0.1
R,5/20/2019,2019,140,11,4.5,0.1
R,5/20/2019,2019,140,12,4.5,0.1
L,5/21/2019,2019,141,0,12.3,10.5
L,5/21/2019,2019,141,0.5,12.2,10.3
L,5/21/2019,2019,141,1,11.4,10.6
L,5/21/2019,2019,141,1.5,11.3,10.5
L,5/21/2019,2019,141,2,10.8,10.8
L,5/21/2019,2019,141,2.5,10.5,10.9
L,5/21/2019,2019,141,3,10.1,11.2
L,5/21/2019,2019,141,3.5,8.2,13.0
L,5/21/2019,2019,141,4,7.2,11.2
L,5/21/2019,2019,141,4.5,6.5,11.1
L,5/21/2019,2019,141,5,6.0,8.7
L,5/21/2019,2019,141,5.5,5.6,5.0
L,5/21/2019,2019,141,6,5.3,0.3
L,5/21/2019,2019,141,6.5,5.1,0.1
L,5/21/2019,2019,141,7,5.0,0.1
L,5/21/2019,2019,141,8,4.9,0.1
L,5/21/2019,2019,141,9,4.8,0.1
R,5/27/2019,2019,147,0,15.6,8.7
R,5/27/2019,2019,147,0.5,15.8,8.6
R,5/27/2019,2019,147,1,15.6,8.8
R,5/27/2019,2019,147,1.5,13.7,9.5
R,5/27/2019,2019,147,2,12.7,10.0
R,5/27/2019,2019,147,2.5,10.8,11.2
R,5/27/2019,2019,147,3,8.7,12.7
